Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason,Total_Services,Revenue_Per_Month,Charge_To_Revenue_Ratio,Refund_Rate,Has_Refund,Has_Extra_Charges,High_Value_Customer,Service_Adoption_Rate,Churn_Prediction,Churn_Probability,Risk_Level,Predicted_Status,Top_Risk_Factors
25063-WES,Male,51,No,West Bengal,4,35,Deal 5,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,280.85,0.0,0,134.6,415.45,Churned,Competitor,Competitor had better devices,3,11.540277777777778,0.17745227518309523,0.0,0,0,0,0.3,1,0.97212076,Critical,Will Churn,"Month-to-Month Contract, No Premium Support"
59787-KAR,Male,79,No,Karnataka,3,21,Deal 4,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.0,1237.85,0.0,0,361.66,1599.51,Churned,Dissatisfaction,Product dissatisfaction,6,72.705,0.061230482783612726,0.0,0,0,0,0.6,1,0.98618025,Critical,Will Churn,"Month-to-Month Contract, No Premium Support, High Monthly Charge"
28544-TAM,Female,80,No,Tamil Nadu,3,8,,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83.9,267.4,0.0,0,22.14,289.54,Churned,Dissatisfaction,Network reliability,4,32.17111111111112,0.288772630274661,0.0,0,0,0,0.4,1,0.99831164,Critical,Will Churn,"Month-to-Month Contract, Low Tenure (<1 year), High Monthly Charge"
93520-GUJ,Female,67,No,Gujarat,13,19,Deal 5,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,72.1,0.0,0,7.77,79.87,Joined,Others,Others,3,3.9935,0.891554346482008,0.0,0,0,0,0.3,1,0.8503146,Critical,Will Churn,No Premium Support
73360-AND,Female,74,No,Andhra Pradesh,0,30,,Yes,No,Yes,DSL,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,2791.5,0.0,0,480.15,3271.65,Churned,Dissatisfaction,Limited range of services,5,105.53709677419356,0.0191587856935511,0.0,0,0,0,0.5,1,0.8211672,Critical,Will Churn,No Premium Support
36756-MAD,Male,64,Yes,Madhya Pradesh,15,33,,No,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,0.0,0,0.0,25.1,Churned,Competitor,Competitor made better offer,1,0.7382352941176471,0.9616858237547893,0.0,0,0,0,0.1,1,0.9972682,Critical,Will Churn,"Month-to-Month Contract, Low Service Adoption, No Premium Support"
87346-MAD,Female,29,Yes,Madhya Pradesh,12,20,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1215.6,0.0,0,566.28,1781.88,Churned,Other,Don't know,6,84.85142857142857,0.05277977205420443,0.0,0,0,0,0.6,1,0.8291873,Critical,Will Churn,"Month-to-Month Contract, No Premium Support, High Monthly Charge"
57256-BIH,Female,18,No,Bihar,9,7,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.85,57.2,0.0,0,9.36,66.56,Joined,Others,Others,1,8.32,0.2938129070455891,0.0,0,0,0,0.1,1,0.99474937,Critical,Will Churn,"Month-to-Month Contract, Low Tenure (<1 year), Low Service Adoption"
65431-CHH,Female,31,No,Chhattisgarh,12,24,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.35,76.35,0.0,0,49.72,126.07,Churned,Price,Long distance charges,1,5.0428,0.16014794994884712,0.0,0,0,0,0.1,1,0.9295009,Critical,Will Churn,"Month-to-Month Contract, Low Service Adoption, No Premium Support"
13829-PUN,Female,34,Yes,Punjab,12,26,,No,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,0.0,0,0.0,30.5,Churned,Attitude,Attitude of service provider,2,1.1296296296296295,0.9682539682539683,0.0,0,0,0,0.2,1,0.99817026,Critical,Will Churn,"Month-to-Month Contract, Low Service Adoption, No Premium Support"
73036-JAM,Female,66,Yes,Jammu & Kashmir,10,21,,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0,87.98,179.08,Churned,Competitor,Competitor made better offer,3,8.14,0.27348956019546866,0.0,0,0,0,0.3,1,0.98773056,Critical,Will Churn,"Month-to-Month Contract, No Premium Support"
72357-MAD,Female,53,No,Madhya Pradesh,14,12,Deal 5,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.3,44.3,0.0,0,42.95,87.25,Joined,Others,Others,2,6.711538461538462,0.5019830028328611,0.0,0,0,0,0.2,1,0.99771726,Critical,Will Churn,"Month-to-Month Contract, Low Service Adoption, No Premium Support"
22439-RAJ,Female,73,Yes,Rajasthan,4,1,Deal 4,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1367.79,Churned,Dissatisfaction,Product dissatisfaction,4,683.895,0.06940436443866481,0.0,0,1,0,0.4,1,0.9933733,Critical,Will Churn,"Month-to-Month Contract, Short Tenure (<6 months), No Premium Support"
34135-MAH,Female,21,No,Maharashtra,9,6,,Yes,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.4,1212.1,0.0,0,411.36,1623.46,Stayed,Others,Others,7,231.92285714285714,0.04395306748088596,0.0,0,0,0,0.7,1,0.50078833,High,Will Churn,"Month-to-Month Contract, Low Tenure (<1 year), No Premium Support"
69173-TAM,Male,27,No,Tamil Nadu,9,27,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.85,19.85,0.0,0,31.77,51.62,Churned,Attitude,Attitude of support person,1,1.8435714285714284,0.3772329912580768,0.0,0,0,0,0.1,1,0.9996569,Critical,Will Churn,"Month-to-Month Contract, Low Service Adoption, No Premium Support"
22286-HAR,Female,54,Yes,Haryana,6,36,,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,99.75,0.0,0,40.71,140.46,Churned,Competitor,Competitor had better devices,7,3.7962162162162163,0.7051463311183374,0.0,0,0,0,0.7,1,0.99582493,Critical,Will Churn,"Month-to-Month Contract, No Premium Support, High Monthly Charge"
66581-UTT,Female,73,Yes,Uttar Pradesh,8,32,Deal 3,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,93.95,2861.45,0.0,0,1019.52,3880.97,Stayed,Others,Others,6,117.6051515151515,0.024201629584978762,0.0,0,0,0,0.6,1,0.66013277,High,Will Churn,"No Premium Support, High Monthly Charge"
25964-HAR,Male,66,Yes,Haryana,10,1,Deal 2,Yes,Yes,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84.35,4059.35,0.0,0,1937.95,5997.3,Churned,Competitor,Competitor offered higher download speeds,9,2998.65,0.014062317656669389,0.0,0,0,1,0.9,1,0.8548226,Critical,Will Churn,"Short Tenure (<6 months), High Monthly Charge"
31698-PUN,Female,20,Yes,Punjab,15,1,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.2,2317.1,0.0,120,761.46,3198.56,Churned,Attitude,Attitude of service provider,8,1599.28,0.03475477878208254,0.0,0,1,0,0.8,1,0.9177108,Critical,Will Churn,"Month-to-Month Contract, Short Tenure (<6 months), High Monthly Charge"
76182-UTT,Male,47,No,Uttar Pradesh,7,10,,No,No,Yes,DSL,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,1448.8,0.0,0,0.0,1448.8,Churned,Competitor,Competitor offered more data,4,131.70909090909092,0.027727962477583117,0.0,0,0,0,0.4,1,0.71117437,Critical,Will Churn,"Month-to-Month Contract, Low Tenure (<1 year), No Premium Support"
69444-JAM,Female,31,Yes,Jammu & Kashmir,5,10,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,511.25,13.03,0,200.34,698.56,Churned,Competitor,Competitor made better offer,4,63.50545454545454,0.10556635599519698,0.025436798438262565,1,0,0,0.4,1,0.8629151,Critical,Will Churn,"Month-to-Month Contract, Low Tenure (<1 year), No Premium Support"
66612-TEL,Female,38,Yes,Telangana,8,27,Deal 4,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,1553.95,0.0,0,688.8,2242.75,Churned,Attitude,Attitude of service provider,7,80.09821428571429,0.04516991643454039,0.0,0,0,0,0.7,1,0.92391557,Critical,Will Churn,"Month-to-Month Contract, High Monthly Charge"
93739-UTT,Female,44,No,Uttar Pradesh,14,6,,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.25,181.65,0.0,0,73.62,255.27,Churned,Competitor,Competitor offered higher download speeds,5,36.46714285714286,0.3365590978265111,0.0,0,0,0,0.5,1,0.9969984,Critical,Will Churn,"Month-to-Month Contract, Low Tenure (<1 year), High Monthly Charge"
19096-WES,Female,58,Yes,West Bengal,14,28,Deal 4,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.75,1052.4,0.0,0,172.56,1224.96,Churned,Attitude,Attitude of support person,5,42.24,0.07320793500603609,0.0,0,0,0,0.5,1,0.85842955,Critical,Will Churn,"Month-to-Month Contract, No Premium Support, High Monthly Charge"
46624-WES,Female,26,Yes,West Bengal,13,27,Deal 5,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,80.2,80.2,0.0,0,1.23,81.43,Churned,Price,Lack of affordable download/upload speed,4,2.908214285714286,0.9729467426907679,0.0,0,0,0,0.4,1,0.99977773,Critical,Will Churn,"Month-to-Month Contract, No Premium Support, High Monthly Charge"
14078-MAH,Female,28,Yes,Maharashtra,6,18,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.85,63.75,0.0,0,77.25,141.0,Churned,Price,Long distance charges,1,7.421052631578948,0.1397887323943662,0.0,0,0,0,0.1,1,0.6934058,High,Will Churn,"Month-to-Month Contract, Low Service Adoption, No Premium Support"
91027-CHH,Male,42,No,Chhattisgarh,4,20,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.7,2362.1,0.0,0,872.0,3234.1,Churned,Competitor,Competitor had better devices,6,154.0047619047619,0.029272665450836143,0.0,0,0,0,0.6,1,0.8962492,Critical,Will Churn,"Month-to-Month Contract, No Premium Support, High Monthly Charge"
85993-KAR,Female,42,Yes,Karnataka,11,1,Deal 5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,70.9,70.9,0.0,0,39.81,110.71,Churned,Competitor,Competitor had better devices,2,55.355,0.6346790797600932,0.0,0,0,0,0.2,1,0.9991767,Critical,Will Churn,"Month-to-Month Contract, Short Tenure (<6 months), Low Service Adoption"
66612-KAR,Female,58,Yes,Karnataka,11,18,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.95,58.0,0.0,0,8.07,66.07,Joined,Others,Others,1,3.477368421052631,0.2974504249291785,0.0,0,0,0,0.1,1,0.99588567,Critical,Will Churn,"Month-to-Month Contract, Low Service Adoption, No Premium Support"
22119-WES,Male,31,Yes,West Bengal,5,5,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.05,33.7,0.0,0,3.62,37.32,Joined,Others,Others,1,6.22,0.5232254697286013,0.0,0,0,0,0.1,1,0.9967154,Critical,Will Churn,"Month-to-Month Contract, Short Tenure (<6 months), Low Service Adoption"
53287-MAH,Female,69,Yes,Maharashtra,3,7,,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,105.5,6205.5,0.0,0,982.52,7188.02,Churned,Attitude,Attitude of support person,8,898.5025,0.0146751573928018,0.0,0,0,1,0.8,1,0.6545044,High,Will Churn,"Low Tenure (<1 year), High Monthly Charge"
21811-CHH,Male,29,No,Chhattisgarh,13,7,Deal 4,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,85.25,855.3,0.0,100,20.2,975.5,Churned,Competitor,Competitor offered more data,4,121.9375,0.0873015873015873,0.0,0,1,0,0.4,1,0.95989853,Critical,Will Churn,"Month-to-Month Contract, Low Tenure (<1 year), No Premium Support"
16554-RAJ,Female,64,No,Rajasthan,2,15,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75.2,633.85,0.0,0,83.43,717.28,Stayed,Others,Others,3,44.83,0.10469454808709697,0.0,0,0,0,0.3,1,0.7727836,Critical,Will Churn,"Month-to-Month Contract, No Premium Support"
32681-MAH,Female,83,Yes,Maharashtra,3,1,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.35,474.9,0.0,0,172.26,647.16,Churned,Other,Deceased,4,323.58,0.13013762034065662,0.0,0,0,0,0.4,1,0.9967539,Critical,Will Churn,"Month-to-Month Contract, Short Tenure (<6 months), No Premium Support"
53535-ASS,Female,28,No,Assam,11,10,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,115.55,8127.6,0.0,0,714.7,8842.3,Churned,Dissatisfaction,Network reliability,10,803.8454545454545,0.013066389243834317,0.0,0,0,1,1.0,1,0.7742871,Critical,Will Churn,"Low Tenure (<1 year), High Monthly Charge"
39219-KAR,Female,58,Yes,Karnataka,6,35,Deal 3,Yes,Yes,No,,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,25.3,676.35,0.0,0,139.25,815.6,Churned,Price,Long distance charges,2,22.655555555555555,0.030982120989468526,0.0,0,0,0,0.2,1,0.8628611,Critical,Will Churn,"Low Service Adoption, No Premium Support"
47612-AND,Female,58,Yes,Andhra Pradesh,10,35,,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,105.1,1582.75,0.0,0,335.85,1918.6,Churned,Competitor,Competitor made better offer,8,53.294444444444444,0.05475098978953949,0.0,0,0,0,0.8,1,0.9137789,Critical,Will Churn,"Month-to-Month Contract, High Monthly Charge"
62148-JAM,Male,21,Yes,Jammu & Kashmir,1,1,Deal 5,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.8,371.9,0.0,0,115.08,486.98,Churned,Competitor,Competitor made better offer,6,243.49,0.17377761383663265,0.0,0,0,0,0.6,1,0.9751788,Critical,Will Churn,"Month-to-Month Contract, Short Tenure (<6 months), No Premium Support"
